,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,spectral_type,index,temperature,radius,name,description,image,external_url,premium,price
40125,40125,40239,,,Gl 301A,,,8.219028,-13.917039,20.6398,-189.67,-511.07,20.0,9.38,7.806,M0V,1.393,-10.994906,16.747444,-4.96426,1.172e-05,1.673e-05,-5.455e-05,2.151736400971556,-0.2428981552011737,-9.195461079e-07,-2.477737277e-06,,,Pup,1,40125,Gl 301,0.0657052390963553,,,,M,936,3795.0023249370192,0.5993964054688469,HIP40239,"HIP40239 belongs to the Pup constellation. For more information, visit https://explorer.openstars.org/#view/hip-40239",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip40239.png,https://explorer.openstars.org/#view/hip-40239,0,0.09
14116,14116,14150,18803.0,,Gl 120.2,,,3.040559,26.60924,20.6398,234.19,-168.25,9.6,6.62,5.046,G8V,0.696,12.909469,13.186603,9.244673,-5.33e-06,2.805e-05,-1.065e-05,0.7960163696201368,0.4644188446336013,1.1353851584e-06,-8.15699017e-07,,51.0,Ari,1,14116,,0.8348337537236499,,,,G,937,5268.963659744489,1.1072292647837894,HIP14150,"HIP14150 belongs to the Ari constellation. For more information, visit https://explorer.openstars.org/#view/hip-14150",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip14150.png,https://explorer.openstars.org/#view/hip-14150,0,0.1
108544,108544,108890,,,NN 4249,,,22.057505,-50.643959,20.6526,351.3,-485.99,0.0,12.09,10.515,M4,1.57,11.439326,-6.376709,-15.96901,-1.573e-05,4.904e-05,-3.086e-05,5.774641291566523,-0.8839038222775525,1.7031504597e-06,-2.356146006e-06,,,,1,108544,,0.0054200089040162,,12.197,11.807,M,938,3564.1400030345985,0.19537575107703783,HIP108890,,https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip108890.png,https://explorer.openstars.org/#view/hip-108890,0,0.08
7325,7325,7339,9407.0,,Gl 59.1,,,1.576016,68.948137,20.6569,-379.06,115.05,-33.4,6.52,4.945,G6V,0.686,6.797516,2.975217,19.27789,-5.87e-06,-4.401e-05,-2.774e-05,0.4126000488210467,1.2033720025587162,-1.8377347375e-06,5.57778139e-07,,,Cas,1,7325,,0.9162204901219992,,,,G,939,5301.258996652291,1.1458121954616964,HIP7339,"HIP7339 belongs to the Cas constellation. For more information, visit https://explorer.openstars.org/#view/hip-7339",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip7339.png,https://explorer.openstars.org/#view/hip-7339,0,0.1
83344,83344,83601,154417.0,6349.0,Gl 654.1,,,17.088005,0.702559,20.6654,-15.67,-335.11,-15.8,6.0,4.424,F9V,0.578,-4.886918,-20.077518,0.253391,2.2e-06,1.567e-05,-3.377e-05,4.473629331259842,0.012261969232665,-7.59703037e-08,-1.624659124e-06,,,Oph,1,83344,,1.4804713248976245,V2213,6.021,5.991,F,940,5684.684104640501,1.266408502074006,HIP83601,"HIP83601 belongs to the Oph constellation. For more information, visit https://explorer.openstars.org/#view/hip-83601",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip83601.png,https://explorer.openstars.org/#view/hip-83601,0,0.1
49385,49385,49526,,,NN 3585,,,10.112187,41.714626,20.6654,-272.32,-414.55,0.0,11.32,9.744,M:,1.492,-13.580078,7.317446,13.75119,-1.139e-05,3.713e-05,-3.1e-05,2.64736431385962,0.72805757129277,-1.3202446148e-06,-2.009795112e-06,,,UMa,1,49385,,0.0110255433210222,,11.387,11.167,M,941,3661.4363147012223,0.2639680847821725,HIP49526,"HIP49526 belongs to the UMa constellation. For more information, visit https://explorer.openstars.org/#view/hip-49526",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip49526.png,https://explorer.openstars.org/#view/hip-49526,0,0.09
64202,64202,64408,114613.0,4979.0,Gl 501.2,,,13.200901,-37.803022,20.6697,-382.44,47.01,-15.0,4.85,3.273,G3V,0.693,-15.531004,-5.050305,-12.669384,-3.07e-06,3.93e-05,1.313e-05,3.455987801437401,-0.6597871967795288,-1.8541214399e-06,2.27910911e-07,,,Cen,1,64202,,4.273660314969304,,,,G,942,5278.600542221096,2.494371412113947,HIP64408,"HIP64408 belongs to the Cen constellation. For more information, visit https://explorer.openstars.org/#view/hip-64408",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip64408.png,https://explorer.openstars.org/#view/hip-64408,0,0.11
38544,38544,38657,64468.0,,Gl 292.1,,,7.915018,19.23634,20.6911,92.95,-454.52,-18.7,7.76,6.181,K2,0.95,-9.389066,17.131531,6.816949,-6.72e-06,-7.14e-06,-4.935e-05,2.072146799050266,0.3357374667175249,4.50634316e-07,-2.20357514e-06,,,Gem,1,38544,,0.2934945222269791,,,,K,943,4585.391205307735,0.8672021344675129,HIP38657,"HIP38657 belongs to the Gem constellation. For more information, visit https://explorer.openstars.org/#view/hip-38657",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip38657.png,https://explorer.openstars.org/#view/hip-38657,0,0.1
51670,51670,51819,90343.0,,Gl 396,,,10.586434,84.399322,20.7297,18.97,48.01,9.0,7.29,5.707,K0,0.819,-1.88616,0.731709,20.630821,2.95e-06,-3.19e-06,9.63e-06,2.771521979730108,1.47304604864167,9.19691552e-08,2.32759048e-07,,,Cam,1,51670,,0.4541507126325546,,,,K,944,4908.2849637074405,0.9413177750699748,HIP51819,"HIP51819 belongs to the Cam constellation. For more information, visit https://explorer.openstars.org/#view/hip-51819",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip51819.png,https://explorer.openstars.org/#view/hip-51819,0,0.1
101876,101876,102207,,,Gl 799.1,,,20.709649,-20.076652,20.7383,354.56,-97.85,0.0,12.38,10.796,DAw,-0.199,12.687416,-14.779264,-7.118981,2.485e-05,2.578e-05,-9.24e-06,5.421773425859626,-0.3504036799141274,1.7189553857e-06,-4.74390186e-07,,,,1,101876,,0.0041840801956742,,12.575,12.225,D,945,16323.058398430996,0.008185080299184551,HIP102207,,https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip102207.png,https://explorer.openstars.org/#view/hip-102207,0,0.08
